name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
나,(선린... 전학 잘 온거겠지..?),,,0,0,,,,,,
나,(아까 건물에 금이 가있던데... 불안하네..),,,0,0,,,,,,
" ",낡은 시설이 준 불안감 탓인지 본격적으로 투덜거리기 시작할 참에 교무실 앞에 도착했다.,,,0,0,,,,,,
나,(어.. 선생님 다가오시는데..?),,,0,0,,,,,,
선생님,아 너가 혹시 전학 온 친구니?,,,0,0,,,,,,
나,엇.. 네!,,,0,0,,,,,,
선생님,아~ 내가 너네 반 담임 선생님이야 여기서 잠깐만 기다려줄래?,,,0,0,,,,,,
,선생님이 자리에 서류를 두고 나왔다,,,0,0,,,,,,
선생님,놀랐어. 우리 학교에 전학생이 있을 줄이야...,,,0,0,,,,,,
선생님,일단 기숙사에 가서 짐부터 풀자 설명은 가면서 해줄게,,,0,0,,,,,,
나,넵!,,,0,0,,,,,,
" ",선생님은 학교와 관련된 여러가지 설명을 해주시며 기숙사로 걸어가셨다,,,0,0,,,,,,
선생님,그나저나 우리 학교에 원래 기숙사가 없었다는 건 아려나 모르겠네?,,,0,0,,,,,,
나,원래 기숙사가 없었나요?,,,0,0,,,,,,
선생님,원래 기숙사가 있던 자리에는 선린중학교가 있었는데,,,0,0,,,,,,
선생님,중학교를 부수고 기숙사를 만든 게 벌써 30년 쯤 전이야,,,0,0,,,,,,
선생님,이 학교의 역사가 벌써 150년 정도 되었으니 기숙사는 지어진 게 오래전은 아닌 셈이지?,,,0,0,,,,,,
나,우와.. 그렇구나 원래는 등교하기가 힘들었겠네요,,,0,0,,,,,,
선생님,옛날에는 전철타고 남영역에서 내려서 걸어왔다는데...,,,0,0,,,,,,
나,우와.. 옛날에는 그럼 남영역-선린 지하터널도 없었고 무빙워크 같은 것도 없었어요?,,,0,0,,,,,,
선생님,나도 잘 몰라~ 내가 이 학교를 나온건 아니니까,,,0,0,,,,,,
선생님,선린중이니 뭐니 하는것들도 다 옛말이지,,,0,0,,,,,,
나,학교가 정말 오래되긴 했네요... 무너지진 않을지..,,,0,0,,,,,,
선생님,참고로 아까 본 건물의 균열은 30년 전에도 있었데..,,,0,0,,,,,,
나,헉.. 엄청 튼튼하단 뜻이겠죠?,,,0,0,,,,,,
선생님,자세한건 나중에 또 얘기하고..,,,0,0,,,,,,
선생님,도착했다!,,,0,0,,,,,,
선생님,자 여기가 앞으로 너가 머물 방이야,,,0,0,,,,,,
선생님,학교 남학생이 홀수라서 혼자 방을 쓰겠네,,,0,0,,,,,,
선생님,짐 풀고 1학년 4반으로 등교하렴~,,,0,0,,,,,,
나,네~,,,0,0,,,,,,
나,(기숙사 건물은 30년 밖에 안되서 그런지 나름 깨끗하네),,,0,0,,,,,,
" ",교실에 도착하자 안에서 소리가 들려왔다,,,0,0,,,,,,
선생님,오늘 우리 반에 전학생이 왔어요 도착을...했나?,,,0,0,,,,,,
나,(들어가면 되나..?),,,0,0,,,,,,
" ",조심스럽게 반에 들어간다,,,0,0,,,,,,
선생님,자 전학생 인사해라,,,0,0,,,,,,
나,아..안녕!! 다들 잘 부탁해,,,0,0,,,,,,
선생님,그래 저기 검정 세라복에 노란 넥타이 여학생 보이지? 쟤 옆으로 가서 앉아라,0,0,0,0,,,,,,
나,네!,0,0,0,0,,,,,,
제로짱,안녕! 난 이제로야,0,1,0,0,,,,,,
나,으ㅇ...아ㅡ아ㅇ아ㅇ삿ㅇ앗!!! 안녕!!!!!!,0,1,0,0,,,,,,
나,(아니 깜짝이야. 갑자기 말을 걸줄 몰랐는데..),0,0,0,0,,,,,,
제로짱,이번 학기에는 혼자 앉을 줄 알았는데 전학생이랑 짝꿍이 되다니!!,0,0,0,0,,,,,,
나,ㄱ.. 그래 잘 지내보자!,0,0,0,0,,,,,,
제로짱,전학와서 모르는 것도 많을 텐데 언제든지 물어봐 모르는 게 있으면 도와줄게,0,0,0,0,,,,,,
나,고마워,0,0,0,0,,,,,,
나,(엄청 친절하고 예쁘다... 세라복이 엄청 잘 어울리네...),0,1,0,0,,,,,,
