name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
,히로인이 갑자기 벌떡 일어나 주인공의 손목을 잡는다,,,0,0,,,,,,
히로인,선생님이 인공이 학교 구경을 시켜주라고 하셨는데 까먹어버렸네! 얼른가자!,2,0,0,0,,,,,,
주인공,어? ㄱ..그래!,1,0,0,0,,,,,,
히로인,아 살 것 같다!,2,0,0,0,,,,,,
주인공,왜 이렇게들 관심이 많은거야..? 휴...,1,0,0,0,,,,,,
히로인,아무래도 우리학교에서 전학생은 보기 쉬운 존재가 아니니까?,2,0,0,0,,,,,,
주인공,설마 앞으로도 계속 이러는 건 아니겠지...,1,0,0,0,,,,,,
히로인,내가 옆에 있어줄게! 너무 심하다 싶으면 방금처럼 꺼내주면 되지,2,0,0,0,,,,,,
주인공,(만난지도 얼마 안됐는데 되게 어른스러운 친구 같아..),1,0,0,0,,,,,,
히로인,헉 시간이 벌써? 이제 곧 종칠 것 같다 다시 들어가자!,2,0,0,0,,,,,,
주인공,그래!,1,0,0,0,,,,,,
