name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
나,안~~ 돼~~~!,,,3,2,,,,,,
왑짱,끼야아앗 호우~,3,2,3,2,,,,,,
" ",꽝~ 쨍그랑~ 쿠구구궁~!!,3,2,3,2,,,,,,
" ",꽈과과과과과ㅗㄱ광.. 퍼어엉~,3,2,3,2,,,,,,
" ",왑짱이 넘어짐과 동시에 천지가 개벽하는 듯한 소리가 들려왔다..,,,3,2,,,,,,
왑짱,으으으ㅏ아아아앙,,,3,2,,,,,,
" ",오늘의 메인메뉴인 돈마호크와 각종 소스와 음식이 왑짱을 뒤집었다.,,,3,2,,,,,,
왑짱,아니 좀 잡아주지!!!!!!!!,3,3,3,2,,,,,,
나,아.. 그게..,3,3,3,2,,,,,,
" ",왑짱은 음식을 뒤집어쓴 채 도망갔고 한 동안 볼 수 없었다.,,,3,2,,,,,,
" ",주의하십시오. 인간답게 행동하지 않으면 선린에서 살아남을 수 없습니다.,,,3,2,,,,,,
" "," ",,,,,,,,,2,
