name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
" ",오늘도 학교 급식을 먹고 반으로 돌아오고 있었다,,,,,,,,,,
나,꺼억~~ 잘 먹었다~,,,,,,,,,,
나,급식도 먹었으니 매점에서 아이스크림이나 하나 사먹을까~?,,,,,,,,,,
알지짱,어? 전학생! 어디가?,,,,,,,,,,
나,나? 아이스크릭...윽,,,,,,,,,,
" ",그녀는 나에게로 달려와 어깨동무를 했다,,,,,,,,,,
나,(아흑... 개아프네),,,,,,,,,,
알지짱,돼지냐? 밥 먹고 바로 아이스크림이나 사먹게?,,,,,,,,,,
나,그게 무슨소리니..,,,,,,,,,,
알지짱,나 배드민턴 치러 가려던 참인데 같이 가자! 운동 좀 해!,,,,,,,,,,
나,(아 힘든데 운동해?),,,,,,,,,,
나,내가 거길 왜가. 나 바빠..,,,,,,,,,,
알지짱,어어?? 나한테 질거 같아서 지금 안한다는 거야?,,,,,,,,,,
나,??,,,,,,,,,,
알지짱,쫄? 쫄???? 진짜 쫄??,,,,,,,,,,
알지짱,매점빵 하려고 했는데?,,,,,,,,,,
나,(젠장.. 어떡하지?),,,,,,,,,1,DialogueCSV/Week3/loc3/c0.csv
