name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam,
나,도서관에 제대로 온 건 이번이 처음이네,,,,,,,,,,,
나,무슨 책들이 있으려나? 구경이나 해볼까?,,,,,,,,,,,
" ",여러 책들을 구경하던 나는 한 책을 보고 멈춰섰다,,,,,,,,,,,
나,어 이건? 꼭 읽고 싶었던 소설인데?,,,,,,,,,,,
" ",그리고 책을 집어드는 순간 같이 책을 집어드는 손이 있었다,,,,,,,,,,,
나,??? 어?,,,,,,,,,,,
" ",그녀는 깜짝 놀라 책을 놓쳤고 나는 책을 가까스로 잡았다,,,,,,,,,,,
,눈이 마주치고 나는 그녀가 저번 주에 노래를 부르던 알지짱이라는 것을 알게 되었다.,,,,,,,,,,,
나,(친해지고 싶었는데 잘됐네),,,,,,,,,,,
알지짱,,,,,,,,,,,,
나,먼저 빌려 갈래?,,,,,,,,,,,
알지짱,아 감사합니다,,,,,,,,,,,
,그녀가 손을 뻗어 책을 잡으려는 순간 책이 뒤로 빠졌다,,,,,,,,,,,
나,대신에 저한테 이름 좀 알려주세요,,,,,,,,,,,
알지짱,네?,,,,,,,,,,,
나,이름이요,,,,,,,,,,,
알지짱,아 저는 알지짱..라고 하는데,,,,,,,,,,,
나,아하... 알지짱?,,,,,,,,,,,
알지짱,어 그럼 이제 책 좀...,,,,,,,,,,,
,다시 한 번 알지짱은 책으로 손을 뻗었고 나는 능글맞게 말했다,,,,,,,,,,,
나,알지짱야 재밌는 책 하나만 추천해줘,,,,,,,,,,,
알지짱,그럼... 이 책은 어때?,,,,,,,,,,,
,알지짱은 급하게 주변에서 책 하나를 꺼내들었다,,,,,,,,,,,
나,흐음 아무거나 꺼낸 건 아니지?,,,,,,,,,,,
알지짱,아니야! 내가 좋아하는 책인데,,,,,,,,,,,
사서,거기 학생들? 좀 조용히해주세요,,,,,,,,,,,
,나는 알지짱에게서 책을 받아가며 물었다,,,,,,,,,,,
나,몇학년 몇반?,,,,,,,,,,,
알지짱,1학년 6반..인데 왜요?,,,,,,,,,,,
,알지짱은 선배인가 싶어 존댓말을 하며 의심스러운 눈빛을 보냈다,,,,,,,,,,,
나,일주일 뒤에 찾아갈게요 그 책 나한테 빌려줘야지,,,,,,,,,,,
나,아 그리고 알지짱 아니야 장난 좀 쳐봤어,,,,,,,,,,,
,나는 그녀를 지나치며 속삭였다,,,,,,,,,,,
,알지짱은 어안이 벙벙한듯한 표정으로 한참을 그 자리에 서있었다,,,,,,,,,,,
알지짱,뭐 저런애가 다있지..?,,,,,,,,,,,
