name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
나,"매점으로 가려던 길, 밴드부실 앞에 비 맞고 있는 레오를 보았다.",,,,,,,,,,
나,어이어이.. 너.. 이렇게 비 맞고 있으면 감기 걸린다구~?,,,,,,,,,,
,레오에게 손을 천천히 내미는 순간 레오는 도망가고 밴드부실 문이 열리는 소리가 들린다,,,,,,,,,,
,덜컹-,,,,,,,,,,
나,엇...!,,,,,,,,,,
???,주인공?,,,,,,,,,,
나,어 뭐야 제로짱? 왜 거기서 나와? 너 밴드부였어?,,,,,,,,,,
제로짱,어엉... 나 밴드부에서 기타쳐,,,,,,,,,,
나,어쩐지 그래서...,,,,,,,,,,
제로짱,으음? 뭐가 그래서야?,,,,,,,,,,
나,아 아니야 그나저나 오늘은 밴드부 연습?,,,,,,,,,,
제로짱,아 잘 안되는 곡이 있어서... 혼자 좀 더 연습하다가 나온거야,,,,,,,,,,
제로짱,기숙사에서는 계속 치면 너무 시끄러울까봐,,,,,,,,,,
나,기타는 언제 시작했어?,,,,,,,,,,
제로짱,나 중학교 들어오고 나서?,,,,,,,,,,
나,(일단 기타 입문자인척 해보자),,,,,,,,,,
나,나도 기타 쳐보고 싶었는데 많이 어렵나?,,,,,,,,,,
제로짱,내가 알려줄까ㅎㅎ?,,,,,,,,,,
나,(저번에 본 배시시 웃는 얼굴을 또 보네),,,,,,,,,,
나,나 한번도 안해봤는데 괜찮아?,,,,,,,,,,
제로짱,엄청 어려운 곡만 아니면 될 것 같기도,,,,,,,,,,
나,좋아! 근데 어디서?,,,,,,,,,,
제로짱,여기 앉아봐!,,,,,,,,,,
" ",제로짱은 밴드부실 앞 벤치를 가르켰고 벤치에 같이 앉았다,,,,,,,,,,
제로짱,기다려봐!,,,,,,,,,,
" ",제로짱은 기타케이스에서 기타를 꺼내 나에게 건네주며 자세 잡는걸 도와주었다,,,,,,,,,,
제로짱,일단 다리 꼬고 이쪽에 올려봐 그렇지,,,,,,,,,,
나,무슨 곡 알려줄건데?,,,,,,,,,,
제로짱,음... 벚꽃 엔딩! 이게 코드 잡는건 제일 쉬울거야,,,,,,,,,,
나,그래? 난 다 좋아,,,,,,,,,,
제로짱,보면 여기 첫번째랑 세번째 네번째 줄을 잡고... 손가락은 여기 올리면 돼,,,,,,,,,,
나,어어,,,,,,,,,,
" ",제로짱은 나의 손모양을 잡아주면서 한참동안 치는 법을 알려주었다,,,,,,,,,,
"나 ",(이제 슬슬 내 실력을 뽐내볼까?),,,,,,,,,1,DialogueCSV/Week2/loc4/c0.csv
