name,content,illustId,illustCategori,backgroundId,backgroundCategori,effectId,effectParam,bgmId,soundId,eventId,eventParam
" ",그렇게 둘은 배드민턴을 칠만한 장소로 이동했다,,,,,,,,,,
나,내가 배드민턴은 오랜만이라서 말야,,,,,,,,,,
나,몸 좀 풀고 붙어볼까,,,,,,,,,,
알지짱,그래~ 먼저 연습 좀 하고 있어,,,,,,,,,,
" ",나는 오랜만에 치는 배드민턴에 준비 운동을 시작했다,,,,,,,,,,
" ",알지짱은 뭐가 그렇게 느긋한지 핸드폰으로 노래도 틀고 의자에 앉아 쉬다가 적당히 돌아왔다,,,,,,,,,,
알지짱,준비됐어?,,,,,,,,,,
나,그럼! 규칙은 실제 배드민턴 규칙 그대로 경기하는거지?,,,,,,,,,,
알지짱,응응,,,,,,,,,,
나,몇점 내기로 할까?,,,,,,,,,,
" ",잠시 후..,,,,,,,,,,
" ",정신을 차려보니 하늘에는 별이 빙글빙글 돌고 알지짱이 나를 다급한 목소리로 부르고 있었다,,,,,,,,,,
알지짱,야!! 괜찮아???,,,,,,,,,,
알지짱,아니 셔틀콕 맞았다고 쓰러지는게 어딨어!!,,,,,,,,,,
"나 ",ㄱ..ㄱㄲ...꾸웨에엑..,,,,,,,,,,
" ",정신이 돌아올 때 까지 알지짱이 정성스럽게 간호해줬다,,,,,,,,,,
